Serial Number,Company Name,Employee Markme,Description,Leave
9.78819E+12,TALES OF SHIVA,Mark,mark,0
9.7801E+12,1Q84 THE COMPLETE TRILOGY,HARUKI MURAKAMI,Mark,0
9.7802E+12,MY KUMAN,Mark,Mark,0
9.78001E+12,THE GOD OF SMAAL THINGS,ARUNDHATI ROY,4TH HARPER COLLINS,2
9.78055E+12,THE BLACK CIRCLE,Mark,4TH HARPER COLLINS,0
9.78813E+12,THE THREE LAWS OF PERFORMANCE,Mark,4TH HARPER COLLINS,0
9.78938E+12,CHAMarkKYA MANTRA,Mark,4TH HARPER COLLINS,0
9.78818E+12,59.FLAGS,Mark,4TH HARPER COLLINS,0
9.78074E+12,THE POWER OF POSITIVE THINKING FROM,Mark,A & A PUBLISHER,0
9.78938E+12,YOU CAN IF YO THINK YO CAN,PEALE,A & A PUBLISHER,0
9.78818E+12,DONGRI SE DUBAI TAK (MPH),Mark,A & A PUBLISHER,0
9.78819E+12,MarkLANDA ADYTAN KOSH,Mark,AADISH BOOK DEPOT,0
9.78819E+12,MarkLANDA VISHAL SHABD SAGAR,-,AADISH BOOK DEPOT,1
8187776021,MarkLANDA CONCISE DICT(ENG TO HINDI),Mark,AADISH BOOK DEPOT,0
9.78938E+12,LIEUTEMarkMarkT GENERAL BHAGAT: A SAGA OF BRAVERY AND LEADERSHIP,Mark,AAM COMICS,2
9.78938E+12,LN. MarkIK SUNDER SINGH,N.A,AAN COMICS,0
9.78938E+12,I AM KRISHMark,DEEP TRIVEDI,AATMAN INNOVATIONS PVT LTD,1
9.78938E+12,DON'T TEACH ME TOLERANCE INDIA,DEEP TRIVEDI,AATMAN INNOVATIONS PVT LTD,0
9.78938E+12,MUJHE SAHISHNUTA MAT SIKHAO BHARAT,DEEP TRIVEDI,AATMAN INNOVATIONS PVT LTD,0
9.78938E+12,SECRETS OF DESTINY,DEEP TRIVEDI,AATMAN INNOVATIONS PVT LTD,1
9.78938E+12,BHAGYA KE RAHASYA (HINDI) SECRET OF DESTINY,DEEP TRIVEDI,AATMAN INNOVATIONS PVT LTD,1
9.78819E+12,MEIN MANN HOON,DEEP TRIVEDI,AATMAN INNOVATIONS PVT LTD,0
9.78938E+12,I AM THE MIND,DEEP TRIVEDI,AATMARAM & SONS,0
9.78035E+12,THE ART OF CHOOSING,SHEEMark IYENGAR,ABACUS,0
9.78035E+12,IN SPITE OF THE GODS,EDWARD LUCE,ABACUS,1
9.78819E+12,QUESTIONS & ANWERS ABOUT THE GREAT BIBLE,Mark,ABC PUBLISHERS DISTRIBUTORS,4
9.78938E+12,NIBANDH EVAM KAHANI LEKHAN { HINDI },Mark,ABHI BOOKS,1
9.78933E+12,INDIAN ECONOMY SINCE INDEPENDENCE 27TH /E,UMA KAPILA,ACADEMIC FOUNDATION,1
9.78817E+12,ECONOMIC DEVELOPMENT AND POLICY IN INDIA,UMA KAPILA,ACADEMIC FOUNDATION,1
9.78933E+12,INDIAN ECONOMY PERFORMANCE 18TH/E  2017-2018,UMA KAPILA,ACADEMIC FOUNDATION,2
